X:IN,2023-04-11,Escrow,Yes
PRIMROSE,2023-03-13,AO,Yes
LIMELIGHT,2023-02-17,143,Yes
tripleS,2023-02-13,MODHAUS,Yes
FIFTY FIFTY,2022-11-18,ATTRAKT,Yes
ARTBEAT,2022-11-16,AB Creative,Yes
Queenz Eye,2022-10-24,Big Mountain,Yes
mimiirose,2022-09-16,YES IM,Yes
We;Na,2022-09-05,Shine E&M,Yes
CSR,2022-07-27,A2Z,Yes
NewJeans,2022-07-22,ADOR,Yes
IRRIS,2022-07-06,Mellow,Yes
Lapillus,2022-06-22,MLD,Yes
CLASS:y,2022-05-05,Universal,Yes
LE SSERAFIM,2022-05-02,Source,Yes
ILY:1,2022-04-04,FC ENM,Yes
TRACER,2022-04-03,Gleamedia,Yes
Kep1er,2022-03-01,WakeOne,Yes
NMIXX,2022-02-22,JYP,Yes
VIVIZ,2022-02-09,Big Planet Made,Yes
H1-KEY,2022-01-05,GLG,Yes
IVE,2021-12-01,Starship,Yes
Billlie,2021-11-10,MYSTIC,Yes
bugAboo,2021-10-25,A team,No
ICHILLIN',2021-09-08,KM,Yes
PRITTI-G,2021-08-31,Enterrobang,Yes
Solia,2021-08-17,Space,No
Hi-L,2021-08-11,Kpop Live,Yes
SKYLE,2021-08-04,Good Luck,Yes
Rumble-G,2021-07-14,Winnerzone,Yes
LIGHTSUM,2021-06-10,Cube,Yes
Purple Kiss,2021-03-15,RBW,Yes
MAJORS,2021-03-09,ANS,Yes
PIXY,2021-02-24,ALLART,Yes
TRI.BE,2021-02-17,TR - Mellow,Yes
aespa,2020-11-17,SM,Yes
Bling Bling,2020-11-17,Major9,Yes
STAYC,2020-11-12,Hi-Up,Yes
PRISMA,2020-10-31,UnionWave,Yes
BlackSwan,2020-10-16,DR,Yes
Precious,2020-09-23,Umi,Yes
XUM,2020-09-22,A100,No
LUNARSOLAR,2020-09-02,J Planet,No
BOTOPASS,2020-08-26,WKS ENE,Yes
AREAL,2020-08-21,JZ Factory,No
Maka Maka,2020-08-04,Dreamus,Yes
Blastar,2020-07-31,VH,No
Weeekly,2020-07-30,Play M,Yes
REDSQUARE,2020-05-19,About,Yes
SECRET NUMBER,2020-05-19,Vine,Yes
woo!ah!,2020-05-15,NV,Yes
KEEMBO,2020-04-10,ARA-LINE,Yes
CRAXY,2020-03-03,SAITEINMENT,Yes
cignature,2020-02-04,C9,Yes
Episode,2020-02-04,Pops,Yes
Hinapia,2019-11-03,Alseulbit,No
Ariaz,2019-10-23,Rising Star,No
ICU,2019-10-22,Liz,Yes
Melody Pink,2019-09-25,KD,Yes
ANS,2019-09-16,ANS,No
Rocket Punch,2019-08-07,Woollim,Yes
FANATICS,2019-08-06,FENT,Yes
Lusty,2019-06-26,babaplay,Yes
PURPLEBECK,2019-06-24,Majesty,Yes
Rockit Girl,2019-05-30,Rolling,Yes
3YE,2019-05-21,GH,Yes
HighSchool,2019-04-30,Richworld,No
ILUV,2019-04-30,WKS ENE,No
API,2019-04-19,BRICKWORKS,Yes
BVNDIT,2019-04-10,MNH,Yes
Everglow,2019-03-18,Yuehua,Yes
ITZY,2019-02-12,JYP,Yes
Cherry Bullet,2019-01-21,FNC,Yes
FLAVOR,2018-11-26,FENT,No
Dreamnote,2018-11-07,iME,Yes
IZ*ONE,2018-10-29,Off The Record,No
Pink Fantasy,2018-10-28,My Doll,Yes
Rose Finger,2018-10-03,YC:Bros,No
